period,year,month,continent_id,continent_name,quantity,value_usd,value_baht,country_count
2021-01,2021,1,1A,ทวีปเอเชีย,6947.852,15149106.424199998,451534266.0,31
2021-01,2021,1,1C,ทวีปอเมริกาเหนือ,4016.542,13804061.800399998,411443866.0,5
2021-01,2021,1,1B,ทวีปยุโรป,1599.862,5408771.3211,161213838.0,20
2021-01,2021,1,1F,ทวีปออสเตรเลีย,506.09599999999995,1426523.7864999997,42518968.0,6
2021-01,2021,1,1D,ทวีปอเมริกาใต้,133.78,419441.99150000006,12501888.0,3
2021-01,2021,1,1E,ทวีปแอฟริกา,92.56700000000001,326930.2825,9744484.0,4
2021-02,2021,2,1C,ทวีปอเมริกาเหนือ,4114.118,14951192.0842,444791984.0,6
2021-02,2021,2,1A,ทวีปเอเชีย,5712.510000000002,12353733.2613,367518623.0,36
2021-02,2021,2,1B,ทวีปยุโรป,1760.767,6255352.340899999,186094230.0,25
2021-02,2021,2,1F,ทวีปออสเตรเลีย,378.336,1196477.7344,35594734.0,7
2021-02,2021,2,1D,ทวีปอเมริกาใต้,46.531,207938.6274,6186091.0,3
2021-02,2021,2,1E,ทวีปแอฟริกา,82.126,187309.3757,5572379.0,6
2021-03,2021,3,1C,ทวีปอเมริกาเหนือ,5769.142000000001,19145052.3657,568326623.0,7
2021-03,2021,3,1A,ทวีปเอเชีย,6773.879000000001,15896082.001200005,471879963.0,38
2021-03,2021,3,1B,ทวีปยุโรป,1907.105,6515605.7048,193417710.0,29
2021-03,2021,3,1F,ทวีปออสเตรเลีย,438.696,1482191.5226,43999300.0,8
2021-03,2021,3,1D,ทวีปอเมริกาใต้,432.91099999999994,923607.8125,27417575.0,6
2021-03,2021,3,1E,ทวีปแอฟริกา,191.597,342366.962,10163266.0,11
2021-04,2021,4,1C,ทวีปอเมริกาเหนือ,5147.066,15493830.4185,474730964.0,10
2021-04,2021,4,1A,ทวีปเอเชีย,6043.713000000001,13484247.780599998,413157352.0,40
2021-04,2021,4,1B,ทวีปยุโรป,1872.2389999999998,6433756.853599999,197130310.0,29
2021-04,2021,4,1F,ทวีปออสเตรเลีย,233.45199999999997,904943.7990999998,27727478.0,9
2021-04,2021,4,1D,ทวีปอเมริกาใต้,316.779,471584.5624,14449351.0,7
2021-04,2021,4,1E,ทวีปแอฟริกา,33.354,90432.11499999999,2770840.0,12
2021-05,2021,5,1A,ทวีปเอเชีย,7229.925000000002,15929100.888599996,493864251.0,40
2021-05,2021,5,1C,ทวีปอเมริกาเหนือ,5034.474999999999,15056872.6186,466821773.0,10
2021-05,2021,5,1B,ทวีปยุโรป,1672.9280000000006,5787942.677399999,179448796.0,30
2021-05,2021,5,1F,ทวีปออสเตรเลีย,297.704,1127761.3467,34965000.0,9
2021-05,2021,5,1E,ทวีปแอฟริกา,170.86399999999998,304674.6378,9446102.0,12
2021-05,2021,5,1D,ทวีปอเมริกาใต้,115.70899999999999,179948.103,5579093.0,9
2021-06,2021,6,1C,ทวีปอเมริกาเหนือ,5153.235,16528145.9387,514780675.0,11
2021-06,2021,6,1A,ทวีปเอเชีย,6315.480000000002,13923402.717899997,433654124.0,42
2021-06,2021,6,1B,ทวีปยุโรป,1708.9450000000002,6130277.5355,190931785.0,30
2021-06,2021,6,1F,ทวีปออสเตรเลีย,326.72600000000006,1360630.7128,42377796.0,11
2021-06,2021,6,1D,ทวีปอเมริกาใต้,191.515,438495.90789999993,13657262.0,10
2021-06,2021,6,1E,ทวีปแอฟริกา,131.36,322980.1223,10059442.0,13
2021-07,2021,7,1C,ทวีปอเมริกาเหนือ,3661.466,14074350.587100001,440328725.0,12
2021-07,2021,7,1A,ทวีปเอเชีย,5952.085000000001,13808304.543399997,432005235.0,42
2021-07,2021,7,1B,ทวีปยุโรป,1767.959,5982345.8174,187163073.0,31
2021-07,2021,7,1F,ทวีปออสเตรเลีย,326.417,1328907.4303,41576065.0,12
2021-07,2021,7,1D,ทวีปอเมริกาใต้,414.588,696913.1461,21803555.0,10
2021-07,2021,7,1E,ทวีปแอฟริกา,66.711,181643.58430000002,5682883.0,15
2021-08,2021,8,1C,ทวีปอเมริกาเหนือ,4408.427999999999,15967956.9078,519822466.0,12
2021-08,2021,8,1A,ทวีปเอเชีย,5785.321999999998,15245047.258600002,496288793.0,42
2021-08,2021,8,1B,ทวีปยุโรป,1522.5010000000002,5616374.435900002,182836015.0,32
2021-08,2021,8,1F,ทวีปออสเตรเลีย,470.02099999999996,1808222.7431000003,58865064.0,12
2021-08,2021,8,1D,ทวีปอเมริกาใต้,45.92,98075.17330000001,3192749.0,10
2021-08,2021,8,1E,ทวีปแอฟริกา,22.713,61289.668600000005,1995230.0,15
2021-09,2021,9,1A,ทวีปเอเชีย,6024.390000000001,16800039.494200002,554670104.0,42
2021-09,2021,9,1C,ทวีปอเมริกาเหนือ,3936.244,14375386.721199999,474617768.0,13
2021-09,2021,9,1B,ทวีปยุโรป,1759.1349999999995,6358457.596599998,209930836.0,32
2021-09,2021,9,1F,ทวีปออสเตรเลีย,329.54699999999997,1449029.4101000002,47841155.0,12
2021-09,2021,9,1E,ทวีปแอฟริกา,176.35,341816.36120000004,11285409.0,15
2021-09,2021,9,1D,ทวีปอเมริกาใต้,75.06400000000001,296157.0147,9777920.0,10
2021-10,2021,10,1A,ทวีปเอเชีย,6122.168,14727872.795699999,485785629.0,42
2021-10,2021,10,1C,ทวีปอเมริกาเหนือ,4031.918,13542150.702300001,446675653.0,13
2021-10,2021,10,1B,ทวีปยุโรป,1557.634,5858002.370700001,193220936.0,32
2021-10,2021,10,1F,ทวีปออสเตรเลีย,402.872,1773566.7184000001,58499502.0,12
