period,year,month,country_code,country_name_th,country_name_en,continent_id,continent_name,unit,quantity,acc_quantity,value_usd,acc_value_usd,value_baht,acc_value_baht
2021-01,2021,1,US,สหรัฐอเมริกา,U.S.A.,1C,ทวีปอเมริกาเหนือ,เมตริกตัน,3686.341,3686.341,12486659.5652,12486659.5652,372177375.0,372177375.0
2021-01,2021,1,JP,ญี่ปุ่น,JAPAN,1A,ทวีปเอเชีย,เมตริกตัน,1648.76,1648.76,3200175.1317,3200175.1317,95384420.0,95384420.0
2021-01,2021,1,CN,จีน,CHINA,1A,ทวีปเอเชีย,เมตริกตัน,802.012,802.012,2479740.8573,2479740.8573,73911156.0,73911156.0
2021-01,2021,1,KR,เกาหลีใต้,S. KOREA,1A,ทวีปเอเชีย,เมตริกตัน,840.917,840.917,1524902.2353,1524902.2353,45451236.0,45451236.0
2021-01,2021,1,AU,ออสเตรเลีย,AUSTRALIA,1F,ทวีปออสเตรเลีย,เมตริกตัน,428.703,428.703,1262355.733,1262355.733,37625775.0,37625775.0
2021-01,2021,1,TW,ไต้หวัน,TAIWAN,1A,ทวีปเอเชีย,เมตริกตัน,561.607,561.607,1167943.0983,1167943.0983,34811712.0,34811712.0
2021-01,2021,1,RU,รัสเซีย,RUSSIAN FEDERATION,1B,ทวีปยุโรป,เมตริกตัน,393.94,393.94,1020772.1933,1020772.1933,30425136.0,30425136.0
2021-01,2021,1,CA,แคนาดา,CANADA,1C,ทวีปอเมริกาเหนือ,เมตริกตัน,234.406,234.406,1000396.2297,1000396.2297,29817810.0,29817810.0
2021-01,2021,1,LA,สปป. ลาว,LAO PDR,1A,ทวีปเอเชีย,เมตริกตัน,553.77,553.77,995638.2282,995638.2282,29675993.0,29675993.0
2021-01,2021,1,MY,มาเลเซีย,MALAYSIA,1A,ทวีปเอเชีย,เมตริกตัน,426.946,426.946,911534.4228,911534.4228,27169195.0,27169195.0
