period,year,month,quantity,value_usd,value_baht,country_count,countries_with_value,unit
2021-01,2021,1,13296.699,36534835.60619999,1088957310.0,69,69,เมตริกตัน
2021-02,2021,2,12094.387999999997,35152003.42390001,1045758041.0,83,69,เมตริกตัน
2021-03,2021,3,15513.329999999998,44304906.36880002,1315204437.0,99,87,เมตริกตัน
2021-04,2021,4,13646.602999999997,36878795.52920001,1129966295.0,107,73,เมตริกตัน
2021-05,2021,5,14521.604999999996,38386300.27210004,1190125015.0,110,80,เมตริกตัน
2021-06,2021,6,13827.261000000002,38703932.93509997,1205461084.0,117,85,เมตริกตัน
2021-07,2021,7,12189.226000000002,36072465.108600006,1128559536.0,122,80,เมตริกตัน
2021-08,2021,8,12254.905000000006,38796966.18729998,1263000317.0,123,73,เมตริกตัน
2021-09,2021,9,12300.730000000003,39620886.59800001,1308123192.0,124,76,เมตริกตัน
2021-10,2021,10,12256.182999999995,36409312.12449999,1200928392.0,124,72,เมตริกตัน
2021-11,2021,11,13176.303999999996,39971651.92180001,1324208865.0,125,81,เมตริกตัน
2021-12,2021,12,14898.888000000003,48372962.5947,1573045208.0,127,70,เมตริกตัน
2022-01,2022,1,10924.001000000002,32432382.25960001,1080608058.0,71,71,เมตริกตัน
2022-02,2022,2,13326.550000000003,38596407.124600016,1266903906.0,86,73,เมตริกตัน
2022-03,2022,3,13760.754999999996,41170373.95279997,1315747513.0,97,79,เมตริกตัน
2022-04,2022,4,12963.924000000006,38519834.11609998,1280880784.0,101,68,เมตริกตัน
2022-05,2022,5,12687.717000000004,35850632.48749999,1200745234.0,103,67,เมตริกตัน
2022-06,2022,6,15333.800000000005,45888949.84430002,1567970350.0,111,85,เมตริกตัน
2022-07,2022,7,14466.056999999999,44619095.26519999,1565452033.0,120,79,เมตริกตัน
2022-08,2022,8,13525.194000000001,43629519.90020001,1589846616.0,124,79,เมตริกตัน
2022-09,2022,9,13048.213000000007,40055545.4914,1427976191.0,129,84,เมตริกตัน
2022-10,2022,10,11230.030000000002,30845646.570200004,1135190739.0,130,76,เมตริกตัน
2022-11,2022,11,13167.694,36847078.7621,1397687076.0,132,79,เมตริกตัน
2022-12,2022,12,13264.692000000001,38876495.7709,1389613128.0,133,78,เมตริกตัน
